frame,x,y,z,roll,pitch,yaw
0,0.2878037691116333,0.14169533550739288,0.4877946078777313,3.136962652206421,0.01633327268064022,-0.17577475309371948
1,0.2878054082393646,0.14169259369373322,0.4877931773662567,3.1369640827178955,0.016337532550096512,-0.17578232288360596
2,0.287807434797287,0.14168718457221985,0.48779594898223877,3.1369731426239014,0.016329746693372726,-0.1757918894290924
3,0.28780847787857056,0.14168666303157806,0.4877958297729492,3.136975049972534,0.016327615827322006,-0.17578914761543274
4,0.28780752420425415,0.14169177412986755,0.4877939820289612,3.136965036392212,0.016329100355505943,-0.175783172249794
5,0.2878086268901825,0.14168797433376312,0.4877956807613373,3.136972188949585,0.016322096809744835,-0.17578770220279694
6,0.28780820965766907,0.14168739318847656,0.48779696226119995,3.1369714736938477,0.01631799526512623,-0.17578960955142975
7,0.28780829906463623,0.14169032871723175,0.48779401183128357,3.1369667053222656,0.016325080767273903,-0.17577846348285675
8,0.2878078520298004,0.14169098436832428,0.4877944588661194,3.1369640827178955,0.01632104068994522,-0.17578238248825073
9,0.28780925273895264,0.14168742299079895,0.4877977967262268,3.136974811553955,0.016314400359988213,-0.17578871548175812
10,0.2878093123435974,0.14168840646743774,0.4877970814704895,3.1369717121124268,0.01631339266896248,-0.1757820099592209
11,0.2878073453903198,0.1416921466588974,0.4877976179122925,3.136965274810791,0.01630852185189724,-0.17578239738941193
12,0.28781020641326904,0.14168797433376312,0.48779869079589844,3.136972188949585,0.016310593113303185,-0.17578735947608948
13,0.2878093123435974,0.141687273979187,0.4877967834472656,3.136975049972534,0.01631353795528412,-0.1757884919643402
14,0.2878097593784332,0.14168837666511536,0.48779669404029846,3.1369712352752686,0.01631602831184864,-0.1757928878068924
15,0.28780871629714966,0.14168964326381683,0.48779600858688354,3.136965751647949,0.01630915142595768,-0.17578212916851044
16,0.2878105342388153,0.14168612658977509,0.48779648542404175,3.136974334716797,0.016316920518875122,-0.17579931020736694
17,0.28780922293663025,0.14168989658355713,0.4877965748310089,3.1369712352752686,0.01631031185388565,-0.17578580975532532
18,0.2878096103668213,0.14168953895568848,0.4877975881099701,3.1369736194610596,0.016309114173054695,-0.17578944563865662
19,0.2878105044364929,0.14168745279312134,0.487798810005188,3.1369776725769043,0.016309397295117378,-0.17578566074371338
20,0.28781044483184814,0.14168691635131836,0.48779919743537903,3.1369762420654297,0.01630762405693531,-0.17579852044582367
21,0.2878095805644989,0.14168787002563477,0.4877973198890686,3.136969804763794,0.016308704391121864,-0.17578692734241486
22,0.28781044483184814,0.14168769121170044,0.48779839277267456,3.1369714736938477,0.01630769670009613,-0.17578625679016113
23,0.2878108024597168,0.14168734848499298,0.48779889941215515,3.136977434158325,0.016307417303323746,-0.17578622698783875
24,0.2878098487854004,0.14168781042099,0.4877968430519104,3.1369681358337402,0.01630975864827633,-0.17578789591789246
25,0.2878110110759735,0.14168722927570343,0.4877982437610626,3.136976480484009,0.016305631026625633,-0.17579731345176697
26,0.2878101170063019,0.14168809354305267,0.4877978265285492,3.136972665786743,0.01630844734609127,-0.1757875233888626
27,0.2878093123435974,0.14168839156627655,0.4877985715866089,3.136969804763794,0.016305308789014816,-0.17579174041748047
28,0.2878105342388153,0.1416863203048706,0.4877956509590149,3.136969566345215,0.016308637335896492,-0.17579485476016998
29,0.2878094017505646,0.14168909192085266,0.48779821395874023,3.136972427368164,0.016306834295392036,-0.17579221725463867
